pl_name,hostname,pl_masse,pl_rade,ra,dec,sy_dist
"TOI-3331 A b","TOI-3331 A",721.47048,12.980,271.3241672,-34.1071710,217.1930000
"TrES-5 b","TrES-5",,14.064,305.2219454,59.4489033,360.3130000
"TOI-4201 b","TOI-4201",825.00000,12.690,90.4747237,-13.4613710,189.0110000
"TrES-5 b","TrES-5",565.07800,13.552,305.2219454,59.4489033,360.3130000
"TOI-3321 b","TOI-3321",,14.730,265.7603351,-65.0082516,285.8950000
"NGTS-1 b","NGTS-1",258.07796,14.908,82.7142134,-36.6309812,218.1210000
"HAT-P-2 b","HAT-P-2",2828.60000,12.300,245.1514324,41.0479601,127.7740000
"TOI-1288 c","TOI-1288",,,313.1670294,65.6087833,114.8650000
"NGTS-24 b","NGTS-24",165.27077,13.608,168.5638892,-37.9101328,683.0620000
"NGTS-9 b","NGTS-9",,11.211,141.9206435,-19.3476477,609.1280000
"HD 17156 b","HD 17156",,13.143,42.4366123,71.7530882,78.0863000
"HD 149026 b","HD 149026",120.77540,8.295,247.6229827,38.3475349,75.8643000
"TOI-3894 b","TOI-3894",279.68900,15.155,201.3748265,52.7681036,417.3650000
"HD 17156 b","HD 17156",1115.58330,12.330,42.4366123,71.7530882,78.0863000
"HD 149026 b","HD 149026",,8.127,247.6229827,38.3475349,75.8643000
"HD 213885 b","HD 213885",,1.720,338.9837166,-59.8648290,48.0883000
"NGTS-4 b","NGTS-4",20.60000,3.180,89.5988945,-30.8117992,280.5550000
"TOI-3693 b","TOI-3693",324.18498,12.599,15.6543938,51.3038918,176.4360000
"TOI-1836 c","TOI-1836",,2.735,245.9079242,54.6900774,191.6490000
"TOI-3261 b","TOI-3261",30.30000,3.820,47.7285242,-73.5319720,300.1410000
"TOI-1736 c","TOI-1736",,,43.4344615,69.1013450,88.9482000
"NGTS-15 b","NGTS-15",238.68913,12.330,73.3553101,-32.8003484,786.4850000
"TOI-3919 b","TOI-3919",1233.17422,12.319,208.9447534,40.3918061,604.5910000
"TOI-3976 A b","TOI-3976 A",55.61997,12.274,224.3560083,44.2743223,516.0870000
"NGTS-4 b","NGTS-4",,3.027,89.5988945,-30.8117992,280.5550000
"NGTS-26 b","NGTS-26",92.80589,14.886,217.6832961,-31.7324526,1093.6900000
"TOI-3894 b","TOI-3894",260.61929,15.278,201.3748265,52.7681036,417.3650000
"HD 104067 b","HD 104067",,,179.7923543,-20.3556058,20.3632000
"TOI-672 b","TOI-672",,5.092,167.9908627,-39.3281151,66.9071000
"TOI-1180 b","TOI-1180",,3.070,214.5557741,82.1937642,72.0238000
"TOI-5293 A b","TOI-5293 A",,11.893,355.8286820,-2.0450945,162.2290000
"HD 104067 c","HD 104067",,,179.7923543,-20.3556058,20.3632000
"TOI-3023 b","TOI-3023",,16.257,165.3158231,-72.3567044,389.9160000
"TOI-4201 b","TOI-4201",,12.043,90.4747237,-13.4613710,189.0110000
"TOI-5238 b","TOI-5238",,4.896,223.3588909,68.8594720,290.6460000
"TOI-2803 A b","TOI-2803 A",309.88270,18.114,93.1147397,-23.4924956,494.8180000
